temperature,humidity,gas_level,water_level,safety_status
31.43393983,79.3917653,183.0380275,43.3724773,Unsafe
26.09498487,64.22137199,154.7770175,39.42049124,Safe
26.73671808,64.13657501,148.923478,36.03028129,Safe
30.15907866,60.35014048,147.9915833,34.54936605,Unsafe
23.88117516,60.13306651,147.6608901,32.72612933,Safe
23.22244496,64.1879001,146.2381656,30.11035142,Safe
30.41077413,76.26763201,157.6624893,37.64936054,Unsafe
25.77484973,64.38514824,150.975857,33.61113314,Safe
25.53300118,69.15382002,161.2214205,34.00826356,Safe
28.75498566,61.50295225,165.0758454,34.5918441,Safe
23.08899284,64.9989341,162.0427663,32.35333219,Safe
24.41621889,69.50413299,149.6900687,37.05284551,Safe
31.12472136,71.17314909,146.4178178,33.13515846,Unsafe
23.20577116,64.08301487,145.9727179,46.86308908,Safe
24.47585173,61.38398362,150.6903719,34.37477028,Safe
31.27952399,67.72960061,147.6491305,31.99319312,Unsafe
24.3938848,63.65249143,162.6950271,30.70837189,Safe
24.55650882,62.30776236,152.7956267,31.77816967,Safe
29.18075689,75.65615631,165.4884522,32.08432842,Unsafe
26.80835193,66.80180488,150.2516729,33.76091732,Safe
26.6315141,66.13410677,163.9913475,37.27477585,Safe
28.77100743,61.0654343,149.3747114,32.07695073,Safe
23.43652313,64.19609096,162.1578309,35.92937499,Safe
26.72099043,63.22416039,154.1474552,35.50775953,Safe
28.07661553,76.08547964,156.8439202,39.9811343,Unsafe
26.99371893,60.27629857,160.5227854,32.1004921,Safe
23.0681953,63.47989184,157.4360496,46.56973283,Safe
31.95362844,60.70683246,182.0290023,37.7072743,Unsafe
25.99070515,63.44975585,154.987685,36.16425906,Safe
23.4262717,60.90390658,152.1357829,33.80511485,Safe
29.73906547,76.60772494,146.4308893,35.83244613,Unsafe
26.4647787,66.86780723,157.7704418,32.90798277,Safe
23.50674524,61.08323242,149.8538354,30.87828401,Safe
28.24078962,68.52995823,151.8766197,37.30201806,Safe
26.73402087,64.47334928,158.259053,33.18793785,Safe
23.30056305,64.7949016,163.4508057,33.91373862,Safe
31.53937571,74.90267798,182.8445886,34.55438609,Unsafe
25.43000972,68.77021609,162.1668426,38.34530637,Safe
25.78658578,69.94914252,159.2564837,34.37587656,Safe
28.40104219,61.02600858,156.7299512,47.44535069,Safe
23.21508651,60.39253608,158.2728095,34.95707,Safe
23.12077318,65.7575172,153.291085,39.18285109,Safe
29.86564941,73.508959,155.9038175,37.10980885,Unsafe
25.81095724,65.56912451,152.5459598,33.66357412,Safe
26.76808369,67.3026854,147.7078796,37.37400434,Safe
28.70555365,66.6645105,176.9994995,38.40725471,Safe
24.87771417,68.93251846,158.7208045,39.33107689,Safe
26.07547659,67.67606231,149.657896,38.76907227,Safe
31.28785937,71.23044463,149.11143,39.11922754,Unsafe
23.11551763,63.47388488,159.7066609,34.14280455,Safe
25.91907709,66.66248591,149.7063347,38.07537382,Safe
30.04311046,68.51021514,159.2991108,30.58414461,Unsafe
24.69975027,69.44486296,148.9574361,48.9009307,Safe
25.38374103,65.98351262,160.7521932,38.71557377,Safe
29.51472499,78.08101853,170.8479404,33.73124285,Unsafe
23.40969912,67.65674071,162.7149893,34.43041435,Safe
23.09385099,61.53552516,158.1617515,37.49257646,Safe
30.75110282,65.17810405,150.8753785,36.67568907,Unsafe
